"Yes","MB",0.41300000000000003,-0.881,0.049,0.076,0.5506666666666666,-0.881,0.06533333333333333,0.076,0.8231132401567275,2023,3,23,"S0107-TC-20230323-1240"
"Yes","MB",-0.28200000000000003,0.713,-0.436,0.596,-0.376,0.713,-0.5813333333333333,0.596,0.04188808333333331,2023,3,23,"S0107-TC-20230323-1240"
"No","MB",0.17,0.76,0.17,0.074,0.22666666666666668,0.76,0.22666666666666668,0.074,0.35294700000000007,2023,3,23,"S0107-TC-20230323-1240"
"No","MB",-0.537,-0.094,-0.673,-0.423,-0.716,-0.094,-0.8973333333333333,-0.423,0.09141647948229054,2023,3,23,"S0107-TC-20230323-1240"
"No","MB",0.097,0.756,0.019,0.079,0.12933333333333333,0.756,0.025333333333333333,0.079,0.35185875000000005,2023,3,23,"S0107-TC-20230323-1240"
"Yes","MB",0.14400000000000002,0.014,0.11800000000000001,0.291,0.192,0.014,0.15733333333333333,0.291,0.05844808333333333,2023,3,23,"S0107-TC-20230323-1240"
"No","MB",0.272,0.925,-0.604,0.137,0.3626666666666667,0.925,-0.8053333333333332,0.137,0.7211275261489263,2023,3,23,"S0107-TC-20230323-1240"
"Yes","MB",0.809,-0.19,-0.579,-0.25,1.0786666666666667,-0.19,-0.7719999999999999,-0.25,0.9306025582227755,2023,3,23,"S0107-TC-20230323-1240"
"No","MB",0.747,0.081,0.019,0.189,0.996,0.081,0.025333333333333333,0.189,0.6743249665698093,2023,3,23,"S0107-TC-20230323-1240"
"Yes","MB",0.541,0.647,-0.516,-0.332,0.7213333333333334,0.647,-0.688,-0.332,0.8998388271238598,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",-0.377,0.438,0.392,-0.065,-0.5026666666666666,0.438,0.5226666666666666,-0.065,0.7124017309011992,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",0.241,-0.435,-0.258,0.156,0.3213333333333333,-0.435,-0.344,0.156,0.5712775299824912,2023,3,23,"S0107-TC-20230323-1321-Repaired"
"No","MB",-0.5630000000000001,-0.029,-0.41200000000000003,-0.442,-0.7506666666666667,-0.029,-0.5493333333333333,-0.442,0.15684363799452689,2023,3,23,"S0107-TC-20230323-1321-Repaired"
